scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_normal_08,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1474.6168918022247,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_08,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1474.6168918022247,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_08,uspl,0.0,0.0,0.0,0.0,1,8.425056855184662,8.425056855184662,1,,0.0,0.0,0.912578271376868,1306.1157546985314,normal,0.0,True,False,0.0,4.0,2.5,4.0,4.0,2.5,4.0,3.4,2,10.531321068980828,0.0
random_normal_09,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_09,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_09,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_09,uspl,0.0,0.0,0.0,0.0,2,19.509894085226687,19.509894085226687,2,,0.0,0.0,0.8572644466042583,1658.1425641464045,normal,0.0,True,False,0.0,4.0,2.5,4.0,4.0,2.5,4.0,3.4,2,24.38736760653336,0.0
random_normal_10,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.0041819738187,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_10,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.0041819738187,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_10,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.0041819738187,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
